"","","","","","","","",""
"MERA","Mera (Fiume)","SO","Samolaco","531489","5120813","operativo","0.938","ELEVATO"
"MERA","Mera (Fiume)","SO","Villa di Chiavenna","538589","5130979","operativo","0.938","ELEVATO"
"MINCIO","Redone (Torrente)","BS","Pozzolengo","626220","5027799","operativo","0.391","SUFFICIENTE"
"MINCIO","Gherardo (Canale)","MN","Bagnolo San Vito","648601","4995810","operativo","0.320","SCARSO"
"MINCIO","Osone Vecchio (Cavo)","MN","Castellucchio","630671","5000640","operativo","0.260","SCARSO"
"MINCIO","Seriola Marchionale (Canale)","MN","Ceresara","623251","5014340","operativo","0.326","SCARSO"
"MINCIO","Caldone (Scolo)","MN","Goito","630530","5013292","operativo","0.305","SCARSO"
"MINCIO","Mincio (Fiume)","MN","Goito","631621","5009360","operativo","0.606","BUONO"
"MINCIO","Mincio (Fiume)","MN","Mantova","644951","4998710","sorveglianza","0.438","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Marmirolo","633911","5018080","operativo","0.725","ELEVATO"
"MINCIO","Redone (Torrente)","MN","Ponti sul Mincio","633459","5028244","operativo","0.304","SCARSO"
"MINCIO","Fossamana (Fosso)","MN","Porto Mantovano","641328","5010637","operativo","0.628","BUONO"
"MINCIO","Caldone (Canale)","MN","Rodigo","631871","5006450","operativo","0.229","SCARSO"
"MINCIO","Mincio (Fiume)","MN","Rodigo","632196","5004203","operativo","0.362","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Roncoferraro","653720","4994210","operativo","0.495","SUFFICIENTE"
"MINCIO","Mincio (Fiume)","MN","Volta Mantovana","633422","5018873","operativo","0.661","ELEVATO"
"MINCIO","Mincio (Fiume)","VR","Peschiera del Garda","633031","5032255","operativo","0.840","ELEVATO"
"OGLIO SOPRALACUALE","Oglio (Fiume)","BG","Costa Volpino","585793","5075349","operativo","0.677","ELEVATO"
"OGLIO SOPRALACUALE","Gleno (Torrente)","BG","Vilminore di Scalve","584640","5093430","sorveglianza","0.781","ELEVATO"
"OGLIO SOPRALACUALE","Dezzo (Torrente)","BG","Schilpario","589425","5095550","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Dezzo (Torrente)","BS","Angolo Terme","588772","5083206","operativo","0.812","ELEVATO"
"OGLIO SOPRALACUALE","Allione (Torrente)","BS","Berzo Demo","601262","5104676","sorveglianza","0.875","ELEVATO"
"OGLIO SOPRALACUALE","Grigna (Torrente)","BS","Berzo Inferiore","599422","5086652","operativo","0.734","ELEVATO"
"OGLIO SOPRALACUALE","Poja (Torrente)","BS","Cedegolo","604445","5103574","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Poja di Salarno (Torrente)","BS","Cevo","608677","5103087","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Ogliolo di Edolo (Torrente)","BS","Corteno Golgi ","592827","5112874","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Grigna (Torrente)","BS","Esine","596100","5085882","operativo","0.816","ELEVATO"
"OGLIO SOPRALACUALE","Valle del Resio (Torrente)","BS","Esine","595256","5083630","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Re (Torrente)","BS","Gianico","591838","5079840","operativo","-","-"
"OGLIO SOPRALACUALE","Re (Torrente)","BS","Darfo Boario Terme","592554","5080033","operativo","0.859","ELEVATO"
"OGLIO SOPRALACUALE","Ogliolo di Monno (Torrente)","BS","Monno","603046","5118253","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Allione (Torrente)","BS","Paisco Loveno","594023","5100654","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Trobiolo (Torrente)","BS","Piancogno","596527","5087633","operativo","0.573","BUONO"
"OGLIO SOPRALACUALE","Oglio Frigidolfo (Torrente)","BS","Ponte di Legno","616490","5124205","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Oglio Arcanello (Torrente)","BS","Ponte di Legno","617002","5126467","sorveglianza","-","-"
"OGLIO SOPRALACUALE","Avio (Torrente)","BS","Temù","613158","5122304","operativo","-","-"
"OGLIO SUBLACUALE","Guerna (Torrente)","BG","Adrara San Rocco","574903","5063200","sorveglianza","0.688","ELEVATO"
"OGLIO SUBLACUALE","Sale (Roggia)","BG","Cividate al Piano","564650","5044610","operativo","0.833","ELEVATO"
"OGLIO SUBLACUALE","Uria (Torrente)","BG","Credaro","571883","5055650","operativo","0.469","SUFFICIENTE"
"OGLIO SUBLACUALE","Cherio (Fiume)","BG","Palosco","565193","5048040","operativo","0.354","SUFFICIENTE"
"OGLIO SUBLACUALE","Rillo (Torrente)","BG","Palosco","565929","5048492","operativo","0.352","SUFFICIENTE"
"OGLIO SUBLACUALE","Bolgare (Roggia)","BG","Palosco","564863","5049790","operativo","0.383","SUFFICIENTE"
"OGLIO SUBLACUALE","Guerna (Torrente)","BG","Sarnico","573353","5057320","operativo","0.719","ELEVATO"
"OGLIO SUBLACUALE","Cherio (Fiume)","BG","Trescore Balneario","566083","5059930","operativo","0.781","ELEVATO"
"OGLIO SUBLACUALE","Garza (Torrente)","BS","Bovezzo","597214","5048589","operativo","0.570","BUONO"
"OGLIO SUBLACUALE","Oglio (Fiume)","BS","Capriolo","571393","5055331","operativo","0.776","ELEVATO"
"OGLIO SUBLACUALE","Garza (Torrente)","BS","Castenedolo","599938","5034253","operativo","0.357","SUFFICIENTE"
"OGLIO SUBLACUALE","Baioncello (Roggia)","BS","Castrezzato","575631","5039788","operativo","0.646","BUONO"
"OGLIO SUBLACUALE","Seriola Castrina (Canale)","BS","Cazzago San Martino","581451","5042650","operativo","0.656","BUONO"
"OGLIO SUBLACUALE","Trenzana (Roggia)","BS","Chiari","570989","5041674","sorveglianza","0.750","ELEVATO"
"OGLIO SUBLACUALE","Seriola Gambara (Vaso)","BS","Fiesse","603315","5009571","operativo","0.273","SCARSO"
"OGLIO SUBLACUALE","Bambinello (Vaso)","BS","Gottolengo","600719","5019330","operativo","0.385","SUFFICIENTE"
"OGLIO SUBLACUALE","Oglio (Fiume)","BS","Palazzolo sull'Oglio","568760","5049790","operativo","0.753","ELEVATO"
"OGLIO SUBLACUALE","Naviglio Grande Bresciano (Canale) ","BS","Rezzato","604125","5040270","operativo","0.594","BUONO"
"OGLIO SUBLACUALE","Seriola Fusia (Roggia)","BS","Rovato","578364","5045748","operativo","0.750","ELEVATO"
"OGLIO SUBLACUALE","Seriola Nuova di Chiari (Canale)","BS","Rovato","578543","5043852","operativo","0.771","ELEVATO"
"OGLIO SUBLACUALE","Vescovada (Roggia)","BS","Rudiano","571236","5036987","sorveglianza","0.652","BUONO"
"OGLIO SUBLACUALE","Strone (Fiume)","BS","Verolanuova","584376","5019348","sorveglianza","0.195","SCARSO"
"OGLIO SUBLACUALE","Oglio (Fiume)","CR","Castelvisconti","574407","5018782","operativo","0.596","BUONO"
"OGLIO SUBLACUALE","Ciria (Cavo)","CR","Cicognolo","595082","5001888","operativo","0.479","SUFFICIENTE"
"OGLIO SUBLACUALE","Ciria (Cavo)","CR","Corte de' Frati","587137","5006659","operativo","0.638","BUONO"
"OGLIO SUBLACUALE","Naviglio Grande Pallavicino (Canale) ","CR","Cumignano sul Naviglio","565558","5022066","operativo","0.531","BUONO"
"OGLIO SUBLACUALE","Dugale Aspice (Colatore)","CR","Gabbioneta Binanuova","596647","5006834","operativo","0.234","SCARSO"
"OGLIO SUBLACUALE","Oglio (Fiume)","CR","Gabbioneta Binanuova","592177","5010314","operativo","0.422","SUFFICIENTE"
"OGLIO SUBLACUALE","Cidellara - Piave (Scolo)","CR","Isola Dovarese","602417","5003649","operativo","0.193","SCARSO"
"OGLIO SUBLACUALE","Diversivo Magio (Cavo)","CR","Piadena","609555","4997836","operativo","0.242","SCARSO"
"OGLIO SUBLACUALE","Laghetto (Colatore)","CR","Piadena","609637","4998642","operativo","0.180","SCARSO"
"OGLIO SUBLACUALE","Navarolo (Canale)","CR","Rivarolo del Re ed Uniti","612962","4988842","operativo","0.323","SCARSO"
"OGLIO SUBLACUALE","Delmona Vecchia (Canale)","CR","Vescovato","591664","4998715","operativo","0.190","SCARSO"
"OGLIO SUBLACUALE","Tartaro Fuga (Canale)","MN","Acquanegra sul Chiese","617591","5000540","operativo","0.276","SCARSO"
"OGLIO SUBLACUALE","Tagliata (Canale)","MN","Bozzolo/Calvatone","617840","4998239","operativo","0.258","SCARSO"
"OGLIO SUBLACUALE","Oglio (Fiume)","MN","Canneto sull'Oglio","603222","5003730","operativo","0.227","SCARSO"
"OGLIO SUBLACUALE","Naviglio S. Zeno (Canale) - Naviglio Inferiore di Isorella (Canale) - Naviglio di Canneto (Canale)","MN","Canneto sull'Oglio","608231","5000140","operativo","0.224","SCARSO"
"OGLIO SUBLACUALE","Acque Alte (Canale)","MN","Gazzuolo","623943","4992640","operativo","0.320","SCARSO"
"OGLIO SUBLACUALE","Riglio (Scolo)","MN","Gazzuolo","625561","4989110","operativo","0.336","SUFFICIENTE"
"OGLIO SUBLACUALE","Oglio (Fiume)","MN","Marcaria","630031","4988850","operativo","0.279","SCARSO"
"OGLIO SUBLACUALE","Cavata (Scolo)","MN","Redondesco","619961","5000470","operativo","0.242","SCARSO"
"OGLIO SUBLACUALE","Dugale Casumenta (Canale)","MN","Sabbioneta","618501","4982260","operativo","0.203","SCARSO"
"OGLIO SUBLACUALE","Navarolo (Canale)","MN","Viadana","628591","4986730","operativo","0.289","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Lura (Torrente)","CO","Bulgarograsso","501216","5065699","operativo","0.383","SUFFICIENTE"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","CO","Limido Comasco","497785","5059626","operativo","-","-"
"OLONA-LAMBRO MERIDIONALE","Lura (Torrente)","CO","Lomazzo","503358","5060725","operativo","0.430","SUFFICIENTE"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","LO","Sant'Angelo Lodigiano","531753","5009630","sorveglianza","0.113","CATTIVO"
"OLONA-LAMBRO MERIDIONALE","Merlata (Torrente)","MI","Baranzate","508066","5041930","operativo","0.367","SUFFICIENTE"
"OLONA-LAMBRO MERIDIONALE","Pudica (Torrente)","MI","Baranzate","509548","5041753","operativo","0.266","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Bozzente (Torrente)","MI","Lainate","501606","5044089","operativo","0.250","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","MI","Legnano","493815","5048417","operativo","0.263","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Colatore)","MI","Locate di Triulzi","515886","5022866","operativo","0.122","CATTIVO"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","MI","Pero","505376","5040332","sorveglianza","0.192","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","MI","Rho","501549","5041408","operativo","0.242","SCARSO"
"OLONA-LAMBRO MERIDIONALE","Lura (Torrente)","MI","Rho","503984","5040945","operativo","-","-"
"OLONA-LAMBRO MERIDIONALE","Ranza (Torrente)","VA","Malnate","490854","5072630","operativo","0.359","SUFFICIENTE"
"OLONA-LAMBRO MERIDIONALE","Olona (Fiume)","VA","Varese","488499","5074040","sorveglianza","0.513","BUONO"
"OLONA-LAMBRO MERIDIONALE","Vellone (Torrente)","VA","Varese","489135","5072476","operativo","0.469","SUFFICIENTE"
"OLONA-LAMBRO MERIDIONALE","Bevera (Torrente)","VA","Varese","489784","5074200","operativo","0.531","BUONO"
"Po","Naviglio di Melotta (Canale)","CR","Casaletto di Sopra","562905","5029138","operativo","0.422","SUFFICIENTE"
"Po","Naviglio Dugale Robecco (Canale)","CR","Cremona","581842","5001675","operativo","0.295","SCARSO"
"Po","Naviglio Civico di Cremona (Canale)","CR","Cremona","579689","5001134","operativo","0.299","SCARSO"
"Po","Po (Fiume)","CR","Cremona","578225","4997690","operativo","0.500","BUONO"
"Po","Naviglio Civico di Cremona (Canale)","CR","Genivolta","566719","5020440","operativo","0.380","SUFFICIENTE"
"Po","Morbasco (Colatore)","CR","Gerre de' Caprioli","581490","4995207","operativo","0.195","SCARSO"
"Po","Il Riolo (Canale)","CR","Gussola","606442","4981951","operativo","0.469","SUFFICIENTE"
"Po","Dugale Pozzolo (Colatore)","CR","San Daniele Po","592601","4989607","sorveglianza","0.469","SUFFICIENTE"
"Po","Morbasco (Colatore)","CR","Sesto ed Uniti","575204","5001480","operativo","0.312","SCARSO"
"Po","Riglio (Roggia)","CR","Spinadesco","575121","4998597","operativo","0.301","SCARSO"
"Po","Fossadone","CR","Stagno Lombardo","583823","4989380","operativo","0.323","SCARSO"
"Po","Brembiolo (Roggia)","LO","Casalpusterlengo","551048","5002828","operativo","0.219","SCARSO"
"Po","Gandiolo (Colatore)","LO","Castelnuovo Bocca d'Adda","568347","4996159","operativo","0.219","SCARSO"
"Po","Brembiolo (Roggia)","LO","Fombio","553960","4996845","operativo","0.333","SUFFICIENTE"
"Po","Mortizza (Rio) - Ancona (Colatore)","LO","Santo Stefano Lodigiano","557955","4994966","operativo","0.172","SCARSO"
"Po","Po (Fiume)","LO","Somaglia","549962","4997541","operativo","0.497","SUFFICIENTE"
"Po","Po (Fiume)","MN","Borgo Virgilio","638271","4989500","operativo","0.385","SUFFICIENTE"
"Po","Fossaviva (Canale)","MN","Borgo Virgilio","637060","4990658","operativo","0.332","SUFFICIENTE"
"Po","Roncocorrente (Canale)","MN","Borgo Virgilio","635651","4990430","operativo","0.159","CATTIVO"
"Po","Secchia (Fiume)","MN","Moglia","657489","4990502","operativo","0.305","SCARSO"
"Po","Trigolaro (Colatore)","MN","Pegognaga","645551","4986830","operativo","0.258","SCARSO"
"Po","Sabbioncello (Canale)","MN","Quistello","658340","4989636","operativo","0.469","SUFFICIENTE"
"Po","Bonifica Mantovana","MN","San Benedetto Po","656774","4990301","operativo","0.305","SCARSO"
"Po","Dugale Parmigiana Moglia (Canale)","MN","San Benedetto Po","657020","4989640","operativo","0.328","SCARSO"
"Po","Po (Fiume)","MN","Sermide","680440","4987210","operativo","0.432","SUFFICIENTE"
"Po","Fossalta (Canale)","MN","Sermide","678890","4979960","operativo","0.359","SUFFICIENTE"
"Po","Po (Fiume)","MN","Viadana","621271","4974341","operativo","0.419","SUFFICIENTE"
"Po","Po (Fiume)","PV","Arena Po","527116","4994228","operativo","0.638","BUONO"
"Po","Ghiaia di Montalto (Torrente)","PV","Borgo Priolo","512453","4979771","operativo","0.635","BUONO"
"Po","Di Valle (Roggia) - Scaricatore della Roggia di Valle - Breme (Canale)","PV","Breme","469547","4996335","sorveglianza","0.406","SUFFICIENTE"
"Po","Coppa (Torrente)","PV","Bressana Bottarone","509773","4991821","operativo","0.297","SCARSO"
"Po","Curone (Torrente)","PV","Casei Gerola","494433","4983591","operativo","0.844","ELEVATO"
"Po","Staffora (Torrente)","PV","Cervesina","501263","4989403","operativo","0.456","SUFFICIENTE"
"Po","Reale (Colatore) - Divisa (Colatore)","PV","Chignolo Po","540497","4997878","operativo","0.375","SUFFICIENTE"
"Po","Scrivia (Torrente)","PV","Cornale","492553","4988381","operativo","-","-"
"Po","Versa (Torrente)","PV","Golferenzo","523473","4979721","operativo","0.604","BUONO"
"Po","Olona (Roggia)","PV","Lardirago","517750","5013464","operativo","0.398","SUFFICIENTE"
"Po","Scuropasso (Torrente)","PV","Mezzanino","515453","4997152","operativo","0.438","SUFFICIENTE"
"Po","Ariazzolo (Colatore)","PV","Pieve Albignola","497649","4992545","sorveglianza","-","-"
"Po","Ariazzolo (Colatore)","PV","Sannazzaro de' Burgondi ","492592","4992654","sorveglianza","0.273","SCARSO"
"Po","Riadino (Canale) ","PV","Pieve del Cairo","485796","4988164","sorveglianza","0.375","SUFFICIENTE"
"Po","Olonetta di Zerbo (Colatore)","PV","Pieve Porto Morone","532411","4994681","sorveglianza","0.133","CATTIVO"
"Po","Nizza (Torrente)","PV","Ponte Nizza","508529","4966677","operativo","0.805","ELEVATO"
"Po","Po (Fiume)","PV","Rea","512479","4996805","sorveglianza","0.594","BUONO"
"Po","Olona Meridionale (Fiume)","PV","San Zenone al Po","528563","4995111","operativo","0.372","SUFFICIENTE"
"Po","Staffora (Torrente)","PV","Santa Margherita di Staffora","519066","4956812","sorveglianza","0.938","ELEVATO"
"Po","Versa (Torrente)","PV","Stradella","524233","4991381","operativo","0.516","BUONO"
"Po","Lanca dei Gozzi o Piave","PV","Torre d'Isola","503458","5007964","sorveglianza","-","-"
"Po","Staffora (Torrente)","PV","Varzi","512753","4963441","operativo","0.875","ELEVATO"
"Po","Terdoppio (Torrente)","PV","Vigevano","485693","5015441","operativo","0.414","SUFFICIENTE"
"Po","Staffora (Torrente)","PV","Voghera","501293","4978481","operativo","0.812","ELEVATO"
"Po","Tidone (Torrente)","PV","Zavattarello","521297","4969540","operativo","0.891","ELEVATO"
"Po","Scavizzolo (Canale)","PV","Zerbolò","498548","5011081","sorveglianza","-","-"
"Po","Terdoppio (Torrente)","PV","Zinasco","502093","4996441","operativo","0.516","BUONO"
"Po","Po Morto - Morciscia (Scolo) - Fuga (Roggia)","PV","Belgioioso","524231","4998790","sorveglianza","0.234","SCARSO"
"Po","Agognetta Ponteverde (Roggia)","PV","Pieve Albignola","499576","4993450","sorveglianza","0.453","SUFFICIENTE"
"SERIO","Luio (Torrente)","BG","Albino","563433","5067959","operativo","0.656","BUONO"
"SERIO","Acqualina (Torrente)","BG","Ardesio","571583","5088589","sorveglianza","-","-"
"SERIO","Serio (Fiume)","BG","Ardesio","571730","5089063","sorveglianza","0.812","ELEVATO"
"SERIO","Morla (Torrente)","BG","Bergamo","553013","5058700","operativo","0.492","SUFFICIENTE"
"SERIO","Morla (Torrente)","BG","Bergamo","551185","5062870","sorveglianza","-","-"
"SERIO","Romna (Torrente)","BG","Casnigo","567145","5072540","sorveglianza","0.458","SUFFICIENTE"
"SERIO","Borgogna (Roggia)","BG","Cavernago","558646","5053805","sorveglianza","0.422","SUFFICIENTE"
"SERIO","Zerra (Torrente)","BG","Mornico al Serio","563085","5048191","operativo","0.320","SCARSO"
"SERIO","Serio (Fiume)","BG","Mozzanica","555433","5036900","sorveglianza","0.422","SUFFICIENTE"
"SERIO","Morlana (Roggia)","BG","Nembro","560693","5066579","operativo","0.828","ELEVATO"
"SERIO","Serio (Fiume)","BG","Ponte Nossa","568513","5077889","operativo","0.680","ELEVATO"
"SERIO","Riso (Torrente)","BG","Ponte Nossa","568273","5078699","operativo","0.781","ELEVATO"
"SERIO","Serio (Fiume)","BG","Seriate","556095","5059815","sorveglianza","0.641","BUONO"
"SERIO","Vertova (Torrente)","BG","Vertova","566163","5072899","sorveglianza","0.844","ELEVATO"
"SERIO","Albina (Torrente)","BG","Albino","562123","5067379","sorveglianza","0.812","ELEVATO"
"SERIO","Sanguigno (Torrente)","BG","Valgoglio","569477","5091617","sorveglianza","0.969","ELEVATO"
"SERIO","Cresmiero (Roggia)","CR","Crema","554443","5021565","operativo","0.395","SUFFICIENTE"
"SERIO","Molinara (Roggia)","CR","Crema","554564","5024439","operativo","0.352","SUFFICIENTE"
"SERIO","Serio (Fiume)","CR","Montodine","555780","5014647","operativo","0.331","SUFFICIENTE"
"SERIO","Serio Morto ","CR","Pizzighettone","563712","5006216","operativo","0.292","SCARSO"
"SERIO","Serio (Fiume)","CR","Sergnano","555527","5030943","operativo","0.299","SCARSO"
"SEVESO","Serenza (Torrente)","CO","Carimate","509169","5060796","operativo","-","-"
"SEVESO","Seveso (Torrente)","CO","Fino Mornasco","504454","5066690","operativo","0.383","SUFFICIENTE"
"SEVESO","Seveso (Torrente)","CO","Vertemate con Minoprio","506515","5064482","operativo","0.430","SUFFICIENTE"
"SEVESO","Seveso (Torrente)","MI","Paderno Dugnano","512143","5048222","operativo","0.336","SUFFICIENTE"
"SEVESO","Seveso (Torrente)","MB","Lentate sul Seveso","510244","5057483","operativo","0.266","SCARSO"
"SEVESO","Terrò (Torrente)","MB","Seveso","511500","5054745","operativo","0.219","SCARSO"
"SPOL","Federia (Torrente)","SO","Livigno","587132","5156223","operativo","0.969","ELEVATO"
"TICINO SUBLACUALE","Ticino (Fiume)","MI","Abbiategrasso","489058","5023529","operativo","0.771","ELEVATO"
"TICINO SUBLACUALE","Scolmatore Piene Nord - Ovest (Canale)","MI","Abbiategrasso","488978","5025946","operativo","0.406","SUFFICIENTE"
"TICINO SUBLACUALE","Naviglio Pavese (Canale)","MI","Casarile","508413","5017926","operativo","0.578","BUONO"
"TICINO SUBLACUALE","Ticino (Fiume)","MI","Cuggiono","482390","5037871","sorveglianza","0.715","ELEVATO"
"TICINO SUBLACUALE","Naviglio Grande (Canale)","MI","Milano","513138","5033001","operativo","0.581","BUONO"
"TICINO SUBLACUALE","Villoresi (Canale)","MI","Parabiago","497071","5045140","operativo","0.773","ELEVATO"
"TICINO SUBLACUALE","Ticino (Fiume)","PV","Bereguardo","500603","5009021","operativo","0.602","BUONO"
"TICINO SUBLACUALE","Ticino (Fiume)","PV","Pavia","512043","5003021","operativo","0.672","ELEVATO"
"TICINO SUBLACUALE","Ticino (Fiume)","PV","Travacò Siccomario","514973","5000681","operativo","0.612","BUONO"
"TICINO SUBLACUALE","Gravellone (Colatore) - Morasca (Colatore)","PV","Travacò Siccomario","512343","5002190","operativo","0.336","SUFFICIENTE"
"TICINO SUBLACUALE","Lenza (Torrente)","VA","Cadrezzate","472367","5069179","operativo","-","-"
"TICINO SUBLACUALE","Arno (Torrente)","VA","Cassano Magnago","484927","5058433","operativo","0.266","SCARSO"
"TICINO SUBLACUALE","Ticino (Fiume)","VA","Golasecca","473099","5061390","operativo","0.828","ELEVATO"
"TICINO SUBLACUALE","Ticino (Fiume)","VA","Lonate Pozzolo","476953","5048485","operativo","0.812","ELEVATO"
"TICINO SUBLACUALE","Lenza (Torrente)","VA","Sesto Calende-Via Remo Barbieri","470973","5063527","operativo","0.641","BUONO"
"TICINO SUBLACUALE","Lenza (Torrente)","VA","Sesto Calende- Via Oriano di Sotto","472604","5064920","operativo","0.672","ELEVATO"
"TICINO SUBLACUALE","Strona (Torrente)","VA","Somma Lombardo","475330","5058216","operativo","0.445","SUFFICIENTE"
